,city,location,restaurant_name,res_speed,res_service,res_flavour
377,ankara,mamak,afilli pizza,9.4,9.3,9.1
378,ankara,etimesgut,meşhur agah efendi pilav üstü,9.3,9.4,9.2
379,ankara,beştepe,komagene etsiz çiğ köfte,9.2,9.2,9.3
380,ankara,tunalı,masabaşı kebapçısı,9.5,9.5,9.3
381,ankara,etimesgut,tarihi ortaköy kumpircisi,9.2,9.1,9.1
382,ankara,gölbaşı,çiğ köfteci ali baba,9.5,9.5,9.5
383,ankara,çankaya,archers burger & pane,9.6,9.5,9.3
384,ankara,yıldız,kuzey yıldızı samsun pide,9.3,9.4,9.1
385,ankara,keçiören,komagene etsiz çiğ köfte,9.4,9.3,9.3
386,ankara,etimesgut,park fırın cafe & bakery,9.7,9.6,9.4
387,ankara,çankaya,kuğu bakery & bistro,9.4,9.2,9.1
388,ankara,emek,pawn burger & hotdog,9.5,9.5,9.4
389,ankara,çayyolu,dinç su,9.3,9.8,9.7
390,ankara,çankaya,buzdağı su,9.6,9.8,9.7
391,ankara,mamak,komagene etsiz çiğ köfte,9.8,9.5,10.0
392,ankara,keklikpınarı,alo su market,9.5,10.0,10.0
393,ankara,çankaya,buzdağı su,9.5,9.8,9.5
394,ankara,aydınlıkevler,komagene etsiz çiğ köfte,9.2,9.1,9.2
395,ankara,sokullu,annem arnavut & yaprak ciğerci,9.5,9.3,9.2
396,ankara,çankaya,big belly,9.4,9.1,9.2
397,ankara,çukurambar,devrez,9.4,9.3,9.2
398,ankara,çankaya,tandır but,9.3,9.1,9.1
399,ankara,emek,my bear burger,9.6,9.7,9.4
400,ankara,çankaya,bahçeli tost evi,9.5,9.4,9.1
401,ankara,çankaya,the juicy lucy burger,9.5,9.6,9.5
402,ankara,yenimahalle,pizza time,9.4,9.4,9.3
403,ankara,yenimahalle,black & yellow pizza,9.3,9.4,9.1
