,city,location,restaurant_name,menu,price
27339,ankara,çayyolu,casa la pizza,Füme Kaburgalı Pizza (Küçük) (İnce Hamur),"44,90 TL"
27340,ankara,çayyolu,casa la pizza,Hawaiian Pizza (Küçük) (İnce Hamur),"34,90 TL"
27341,ankara,çayyolu,casa la pizza,Hindi Füme Pizza (Küçük) (İnce Hamur),"34,90 TL"
27342,ankara,çayyolu,casa la pizza,Karışık Pizza (Küçük) (İnce Hamur),"39,90 TL"
27343,ankara,çayyolu,casa la pizza,Karidesli Pizza (Küçük) (İnce Hamur),"44,90 TL"
27344,ankara,çayyolu,casa la pizza,Kavurmalı Pizza (Küçük) (İnce Hamur),"44,90 TL"
27345,ankara,çayyolu,casa la pizza,Kayseri'den Pizza (Küçük) (İnce Hamur),"39,90 TL"
27346,ankara,çayyolu,casa la pizza,Lor Peynirli Ispanaklı Pizza (Küçük) (İnce Hamur),"31,90 TL"
27347,ankara,çayyolu,casa la pizza,Margherita Pizza (Küçük) (İnce Hamur),"31,90 TL"
27348,ankara,çayyolu,casa la pizza,Mexican Pizza (Küçük) (İnce Hamur),"34,90 TL"
27349,ankara,çayyolu,casa la pizza,Misket Köfteli Pizza (Küçük) (İnce Hamur),"34,90 TL"
27350,ankara,çayyolu,casa la pizza,Pepperoni Pizza (Küçük) (İnce Hamur),"34,90 TL"
27351,ankara,çayyolu,casa la pizza,Pesto 4 Lezzet Pizza (Küçük) (İnce Hamur),"39,90 TL"
27352,ankara,çayyolu,casa la pizza,Pesto Pizza (Küçük) (İnce Hamur),"39,90 TL"
27353,ankara,çayyolu,casa la pizza,Sosisli Pizza (Küçük) (İnce Hamur),"31,90 TL"
27354,ankara,çayyolu,casa la pizza,Tam Buğday Tam Sağlık Pizza (Küçük) (İnce Hamur),"31,90 TL"
27355,ankara,çayyolu,casa la pizza,Tavuklu Sezar Pizza (Küçük) (İnce Hamur),"34,90 TL"
27356,ankara,çayyolu,casa la pizza,Tıka Basa Pastırma Pizza (Küçük) (İnce Hamur),"44,90 TL"
27357,ankara,çayyolu,casa la pizza,Ton Balıklı Pizza (Küçük) (İnce Hamur),"34,90 TL"
27358,ankara,çayyolu,casa la pizza,Usta'nın Acılı Pizzası (Küçük) (İnce Hamur),"34,90 TL"
27359,ankara,çayyolu,casa la pizza,Vejetaryen Pizza (Küçük) (İnce Hamur),"31,90 TL"
27360,ankara,çayyolu,casa la pizza,3 Mantarlı Pizza (Orta),"39,90 TL"
27361,ankara,çayyolu,casa la pizza,Patatesli Pizza (Orta),"39,90 TL"
27362,ankara,çayyolu,casa la pizza,Somonlu Pizza (Orta),"54,90 TL"
27363,ankara,çayyolu,casa la pizza,Deniz Feneri Pizza (Orta),"54,90 TL"
27364,ankara,çayyolu,casa la pizza,4 Lezzet Pizza (Orta),"49,90 TL"
27365,ankara,çayyolu,casa la pizza,Alaturka Pizza (Orta),"49,90 TL"
27366,ankara,çayyolu,casa la pizza,Anason & Beyaz Peynirli Pizza (Orta),"39,90 TL"
27367,ankara,çayyolu,casa la pizza,Bbq Tavuklu Pizza (Orta),"44,90 TL"
27368,ankara,çayyolu,casa la pizza,Bianca Pizza (Orta),"39,90 TL"
27369,ankara,çayyolu,casa la pizza,Cajun Tavuklu Pizza (Orta),"44,90 TL"
27370,ankara,çayyolu,casa la pizza,Caprese Pizza (Orta),"39,90 TL"
27371,ankara,çayyolu,casa la pizza,Casa La Pizza (Orta),"44,90 TL"
27372,ankara,çayyolu,casa la pizza,Dana Pizza (Orta),"49,90 TL"
27373,ankara,çayyolu,casa la pizza,Di Mare Pizza (Orta),"54,90 TL"
27374,ankara,çayyolu,casa la pizza,Elmalı Cevizli Pizza (Orta),"39,90 TL"
27375,ankara,çayyolu,casa la pizza,Enginarlı Pizza (Orta),"39,90 TL"
27376,ankara,çayyolu,casa la pizza,Filetto Pizza (Orta),"49,90 TL"
